signal_id,signal_time_jst,signal_time_unix,symbol,mc_band,mc,liquidity,entry_price,sl_price,tp_price,rr_ratio,atr,vwap,rsi,vol_surge,score_total,score_volume,score_vwap,score_rsi,score_liquidity,score_repro,score_penalty,score_pps_bonus,pps,pps_label,range_pct,vwap_dev,signal_count,success_count,success_rate,adjusted_rate,ohlcv_aggregate,rsi_overbought,atr_sl_mult,atr_tp_mult,volume_surge_min,notified,notify_threshold,gecko_url,pool_address,token_address,outcome_checked_at,price_15m,price_30m,price_60m,high_60m,low_60m,sl_hit,tp_hit,outcome,pnl_pct
63fc98f2,2026-02-26 08:14:33,1772061273,AUTISM,$300K〜$1M,959495,95550,0.0009491412640578,0.0007189817173701,0.0013327405085373,1.67,7.671984889589663e-05,0.0011575040137539,29.58,1.76,31,0.0,0.0,0.0,15.0,5.5,0.0,10.0,5,強い安値圏,0.265,-18.0,8,3,0.375,0.423,5,85,3.0,5.0,4.0,False,70,https://www.geckoterminal.com/solana/pools/8QYcaoqEcJ12N1CE5Wn8YqoDAidM3kH4QL9o78ibEE8w,8QYcaoqEcJ12N1CE5Wn8YqoDAidM3kH4QL9o78ibEE8w,8jiVXftnn2ZG6bugK7HAH5j2G3D6TpsG521gqsWwpump,2026-02-26 09:18:44,0.0009230483258066,0.0008558015702927,0.0008489288612622,0.0010326475778256,0.0006695829098389,True,False,LOSS,-10.56
dd4ce979,2026-02-26 08:14:35,1772061275,PMPR,$300K〜$1M,604551,70129,0.0005949633452699,0.0003596765310725,0.000987108035599,1.67,7.842893806580424e-05,0.0007007018567742,39.54,1.0,24,0.0,0.0,0.0,15.0,4.0,0.0,5.0,4,やや安値圏,0.301,-15.09,5,2,0.4,0.45,5,85,3.0,5.0,4.0,False,70,https://www.geckoterminal.com/solana/pools/BCH5me3iiBAYviFWdzH134JVGN6UdbUMbGMJJhT8JJ4K,BCH5me3iiBAYviFWdzH134JVGN6UdbUMbGMJJhT8JJ4K,AX9D7Nqtu3enaeL4ELxoagsNV7AyEQEhK2ziwiyJpump,2026-02-26 09:18:58,0.0004929974165707,0.0006098441307887,0.0005701296452879,0.0006812968401112,0.0004816240941326,False,False,LOSS-,-4.17
c9de24d0,2026-02-26 08:14:38,1772061278,gork,$1M〜$5M,4765095,646298,0.0049960556370198,0.00135424014096,0.0108229604307155,1.6,0.0014567261984239,0.0073860488781893,27.79,0.66,29,0.0,0.0,0.0,15.0,4.2,0.0,10.0,5,強い安値圏,0.32,-32.36,19,6,0.316,0.354,15,75,2.5,4.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/37iWFSqgnTSAfShoBTBzQghwsTtkWAZW3yVzgJWKn6iK,37iWFSqgnTSAfShoBTBzQghwsTtkWAZW3yVzgJWKn6iK,38PgzpJYu2HkiYvV8qePFakB8tuobPdGm2FFEn7Dpump,2026-02-26 09:19:00,0.004719313577585,0.0045805356877713,0.0047932104969049,0.0051138000802546,0.0044505421031827,False,False,LOSS-,-4.06
5074ea67,2026-02-26 08:15:11,1772061311,67,$1M〜$5M,1900198,259674,0.0019206425327245,0.0016749441669596,0.0023137599179482,1.6,9.827934630593912e-05,0.0018620638600315,33.59,0.65,35,0.0,20.0,0.0,15.0,0.0,0.0,0.0,3,中間,0.456,3.15,10,0,0.0,0.167,15,75,2.5,4.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/DMAFL613XTipuA3jFNYczavWT7XsiYf9cR3qmRMZQhB6,DMAFL613XTipuA3jFNYczavWT7XsiYf9cR3qmRMZQhB6,9AvytnUKsLxPxFHFqS6VLxaxt5p6BhYNr53SD2Chpump,2026-02-26 09:19:14,0.0019807428106661,0.0019384790760048,0.0019671325879561,0.0021451092002531,0.0018530998737803,False,False,WIN+,2.42
38707e1e,2026-02-26 08:15:13,1772061313,Punch,$5M〜$50M,21625749,722488,0.0215528183864927,0.0187768530071444,0.0264107578003522,1.75,0.0013879826896741,0.0314765666721569,30.3,0.01,25,0.0,0.0,0.0,15.0,0.0,0.0,10.0,5,強い安値圏,0.05,-31.53,17,0,0.0,0.114,15,72,2.0,3.5,2.0,False,70,https://www.geckoterminal.com/solana/pools/A6KHMiFzn9AM7VKBtVP4fZNY9bCo2jP63R9dphaW1vrq,A6KHMiFzn9AM7VKBtVP4fZNY9bCo2jP63R9dphaW1vrq,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,2026-02-26 09:19:47,0.0222729295586585,0.0223848436179157,0.0234925698294717,0.0236769160981542,0.0213656830301393,False,False,WIN+,9.0
a850ac96,2026-02-26 08:19:33,1772061573,NIRE,$1M〜$5M,1267944,134864,0.0012696176621064,0.0002016645871046,0.0029783425821094,1.6,0.0004271812300007,0.0012535917700862,39.18,0.09,36,0.0,20.0,0.0,15.0,0.9,0.0,0.0,3,中間,0.362,1.28,2,0,0.0,0.357,15,75,2.5,4.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/Gwqf2oUbkvWUVvPkp4NivcAgZMfUS845KX5cWfjrZW8D,Gwqf2oUbkvWUVvPkp4NivcAgZMfUS845KX5cWfjrZW8D,7nePAcJhg88s1KFJptgaBvzYgHaUDzddgU65Etvtpump,2026-02-26 09:31:55,0.0011118070734079,0.0012081017419631,0.0011847106293876,0.0015910546304041,0.0009035209499605,False,False,LOSS-,-6.69
0a998e4c,2026-02-26 08:24:32,1772061872,MOLTID,$1M〜$5M,1143608,129445,0.0011436086426827,0.0005662772908138,0.0020673388056731,1.6,0.0002309325407475,0.0010404054851345,67.57,0.7,50,0.0,20.0,20.0,15.0,0.4,0.0,-5.0,2,やや高値圏,0.645,9.92,4,0,0.0,0.278,15,75,2.5,4.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/5yvbbB9pfgwMaPVKcjBiW6fcdqc4h15CKSinseu7jG85,5yvbbB9pfgwMaPVKcjBiW6fcdqc4h15CKSinseu7jG85,moLtguTf84g34S34PbnJDRKR1FXb5di1UCRsnB7hKjE,2026-02-26 09:31:58,0.0013199634925748,0.0012467763939221,0.0011743517740512,0.0014897089430776,0.0010711407727287,False,False,WIN+,2.69
8c2a62b9,2026-02-26 08:39:32,1772062772,WAR,$5M〜$50M,17440067,538122,0.0175439676896189,0.0163765680966773,0.0195869169772668,1.75,0.0005836997964708,0.0177499898334265,62.78,1.02,35,0.0,0.0,20.0,15.0,0.0,0.0,0.0,3,中間,0.385,-1.16,17,0,0.0,0.114,15,72,2.0,3.5,2.0,False,70,https://www.geckoterminal.com/solana/pools/qNAGLPKnYzNtf5iJHdki9Prgodgra5BnadACgecdsjw,qNAGLPKnYzNtf5iJHdki9Prgodgra5BnadACgecdsjw,8opvqaWysX1oYbXuTL8PHaoaTiXD69VFYAX4smPebonk,2026-02-26 09:46:55,0.0187091751266037,0.0176846433309516,0.0175295180092618,0.0189213827667181,0.0171392662480509,False,False,LOSS-,-0.08
305e045c,2026-02-26 08:44:32,1772063072,MACMINI,$1M〜$5M,2107533,145132,0.0020849894691318,0.0014020360573128,0.0031777149280422,1.6,0.0002731813647275,0.0023180971464525,36.54,0.11,20,0.0,0.0,0.0,15.0,0.0,0.0,5.0,4,やや安値圏,0.219,-10.06,16,1,0.062,0.167,15,75,2.5,4.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/FV7QJ4FSZFpkvSNPEaJBZLVJxe4XjgoNFBwBGGf2vTRF,FV7QJ4FSZFpkvSNPEaJBZLVJxe4XjgoNFBwBGGf2vTRF,2QKrBtNECja4cJygxA7igwqxahs93GNmuQ2We2stpump,2026-02-26 09:46:58,0.0022199155441252,0.0021003118367896,0.0020491176598773,0.0022813300570475,0.0020339769174047,False,False,LOSS-,-1.72
6b5c910d,2026-02-26 09:04:32,1772064272,Pigeon,$1M〜$5M,2757574,211160,0.0027563665993104,0.0023146516523565,0.0034631105144366,1.6,0.0001766859787815,0.0023714073240747,53.16,0.62,50,0.0,20.0,20.0,15.0,0.0,0.0,-5.0,2,やや高値圏,0.637,16.23,23,1,0.043,0.125,15,75,2.5,4.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/FXRvcgMQfgj3WrmUXGh8qhVLaU3Q4T7jQeKBoqhVecR7,FXRvcgMQfgj3WrmUXGh8qhVLaU3Q4T7jQeKBoqhVecR7,4fSWEw2wbYEUCcMtitzmeGUfqinoafXxkhqZrA9Gpump,2026-02-26 10:16:55,0.0028170600915756,0.0027760487931747,0.0026912283950905,0.0030075410928346,0.0025594666855539,False,False,LOSS-,-2.36
