signal_id,signal_time_jst,signal_time_unix,symbol,mc_band,mc,liquidity,entry_price,sl_price,tp_price,rr_ratio,atr,vwap,rsi,vol_surge,score_total,score_volume,score_vwap,score_rsi,score_liquidity,score_repro,score_penalty,signal_count,success_count,success_rate,adjusted_rate,ohlcv_aggregate,rsi_overbought,atr_sl_mult,atr_tp_mult,volume_surge_min,notified,notify_threshold,gecko_url,pool_address,token_address,outcome_checked_at,price_15m,price_30m,price_60m,high_60m,low_60m,sl_hit,tp_hit,outcome,pnl_pct
55d82a57,2026-02-26 04:06:53,1772046413,WAR,$5M〜$50M,16530607,526258,0.0165306071544594,0.0156530812492041,0.0185363806521859,2.29,0.0005014433744316,0.0181393052734827,44.22,0.17,15,0.0,0.0,0.0,15.0,0.0,0.0,10,0,0.0,0.167,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/qNAGLPKnYzNtf5iJHdki9Prgodgra5BnadACgecdsjw,qNAGLPKnYzNtf5iJHdki9Prgodgra5BnadACgecdsjw,8opvqaWysX1oYbXuTL8PHaoaTiXD69VFYAX4smPebonk,2026-02-26 05:19:15,0.0166948623384198,0.0163910859984791,0.0167965955980834,0.0168211432798251,0.016093076972361,False,False,WIN+,1.61
288b769a,2026-02-26 04:21:47,1772047307,Lobstar,$1M〜$5M,3845431,289004,0.0038454470345583,0.0029609181232224,0.006056769312898,2.5,0.0004422644556679,0.0063721536708876,35.01,0.14,15,0.0,0.0,0.0,15.0,0.0,0.0,14,0,0.0,0.132,15,87,2.0,5.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/AADJrfmWoHVXZhF1UkbHvNC5tqrBpkGdSaxtMYteDm2x,AADJrfmWoHVXZhF1UkbHvNC5tqrBpkGdSaxtMYteDm2x,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,2026-02-26 05:34:10,0.004183673234656,0.0042118148651288,0.0042607397660177,0.0043981072824575,0.0036954501413721,False,False,WIN+,10.8
e06cbc7c,2026-02-26 04:21:49,1772047309,NIRE,$1M〜$5M,1209158,124139,0.0012236887680391,0.0001105859233605,0.0040064458797356,2.5,0.0005565514223392,0.0010263479247337,48.93,0.82,36,0.0,20.0,0.0,15.0,0.9,0.0,2,0,0.0,0.357,15,87,2.0,5.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/Gwqf2oUbkvWUVvPkp4NivcAgZMfUS845KX5cWfjrZW8D,Gwqf2oUbkvWUVvPkp4NivcAgZMfUS845KX5cWfjrZW8D,7nePAcJhg88s1KFJptgaBvzYgHaUDzddgU65Etvtpump,2026-02-26 05:34:13,0.0014134400111066,0.0017370366197001,0.0023679991057435,0.0025457273997797,0.0011363207803648,False,False,WIN+,93.51
fc778687,2026-02-26 04:21:52,1772047312,Punch,$5M〜$50M,26983570,801126,0.0267187597608718,0.024250526610957,0.0323604355321057,2.29,0.0014104189428084,0.0329170408544572,51.62,0.16,35,0.0,0.0,20.0,15.0,0.0,0.0,14,1,0.071,0.184,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/A6KHMiFzn9AM7VKBtVP4fZNY9bCo2jP63R9dphaW1vrq,A6KHMiFzn9AM7VKBtVP4fZNY9bCo2jP63R9dphaW1vrq,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,2026-02-26 05:34:16,0.0262325744056904,0.0250411393776105,0.0249844515047622,0.027213785223619,0.0247370677227951,False,False,LOSS-,-6.49
59fe5aaa,2026-02-26 04:26:47,1772047607,gork,$5M〜$50M,7848731,820794,0.00779817881418,0.0054073737544273,0.013262876093615,2.29,0.0013661743198587,0.0075355829507953,52.76,0.18,59,0.0,20.0,20.0,15.0,3.6,0.0,23,7,0.304,0.339,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/37iWFSqgnTSAfShoBTBzQghwsTtkWAZW3yVzgJWKn6iK,37iWFSqgnTSAfShoBTBzQghwsTtkWAZW3yVzgJWKn6iK,38PgzpJYu2HkiYvV8qePFakB8tuobPdGm2FFEn7Dpump,2026-02-26 05:34:19,0.0082053099101427,0.0077411098838352,0.0080923830726539,0.0089068796201425,0.0076081719924932,False,False,WIN+,3.77
88541ad9,2026-02-26 04:36:47,1772048207,ROSCLAW,$300K〜$1M,944352,93726,0.0009531727444838,0.0007025360163242,0.0016048282376988,2.6,0.0001002546912638,0.0010120762941276,53.72,0.08,37,0.0,0.0,20.0,15.0,2.2,0.0,4,1,0.25,0.389,5,91,2.5,6.5,5.0,False,70,https://www.geckoterminal.com/solana/pools/BBeJvzFYLxLbyHU9j5jnz4TRCfTY6E3CBmQ2f9t6eH97,BBeJvzFYLxLbyHU9j5jnz4TRCfTY6E3CBmQ2f9t6eH97,BVdMM5Fd7MxcTExnokXZzmCtiLvd2Es5zZQqRLNmrzSy,2026-02-26 05:49:09,0.0009106062010942,0.000829878446974,0.0008592033463206,0.0009682754639644,0.0007929368363399,False,False,LOSS-,-9.86
1fdb4504,2026-02-26 04:36:50,1772048210,GROKIUS,$1M〜$5M,2967624,186049,0.0029405557598547,0.0023644763575501,0.0043807542656165,2.5,0.0002880397011523,0.003552513594569,33.49,0.29,15,0.0,0.0,0.0,15.0,0.0,0.0,17,0,0.0,0.114,15,87,2.0,5.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/HUsE3ouq2rL2egjy1hURxYiiQw4uuv4QDdvpYedQ8Rdh,HUsE3ouq2rL2egjy1hURxYiiQw4uuv4QDdvpYedQ8Rdh,67ezHLk8PUkjJCXjmmgPbx85VowA52ghfRXa9A8Tpump,2026-02-26 05:49:12,0.0030816218004648,0.0030335309130745,0.0027426198924844,0.0030848886924876,0.0025681260861733,False,False,LOSS-,-6.73
579da8f1,2026-02-26 04:36:52,1772048212,gork,$1M〜$5M,1259918,155096,0.0012477218703266,0.001030259650845,0.0017913774190308,2.5,0.0001087311097408,0.001104756748045,59.23,0.02,60,0.0,20.0,20.0,15.0,5.0,0.0,15,5,0.333,0.375,15,87,2.0,5.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/AZmU4Bv6TPHimgqBe5eRsRQ18KKKr2aemHdqmfbVKqvr,AZmU4Bv6TPHimgqBe5eRsRQ18KKKr2aemHdqmfbVKqvr,76EDL5qNcte2ZH29quTaFzagXjWAEY83CATEjyA6pump,2026-02-26 05:49:15,0.0012708772076424,0.0012792864829018,0.0013479074920562,0.0013479074920562,0.0012299150682874,False,False,WIN+,8.03
81efe295,2026-02-26 04:41:47,1772048507,PIGEON,$300K〜$1M,520689,99089,0.0005207221094244,0.0004447351505354,0.0007182882025357,2.6,3.039478355558296e-05,0.0004488686054537,69.54,0.47,55,0.0,20.0,20.0,15.0,0.0,0.0,12,0,0.0,0.147,5,91,2.5,6.5,5.0,False,70,https://www.geckoterminal.com/solana/pools/CimyjC9gZZwmX3FANaCm45gSWAFrLCtB6NQWjDNZkjgX,CimyjC9gZZwmX3FANaCm45gSWAFrLCtB6NQWjDNZkjgX,GB8KtQfMChhYrCYtd5PoAB42kAdkHnuyAincSSmFpump,2026-02-26 05:49:18,0.0004600391367089,0.0004410423888823,0.0004228430303252,0.0005288516298505,0.0004005576178779,True,False,LOSS,-18.8
b9a959a8,2026-02-26 04:41:50,1772048510,GME,$5M〜$50M,5027493,1303014,0.0007301950439736,0.0006938959996287,0.0008131642881904,2.29,2.074231105420072e-05,0.0007787063684219,49.57,0.01,19,0.0,0.0,0.0,15.0,3.7,0.0,14,4,0.286,0.342,15,82,1.75,4.0,2.0,False,70,https://www.geckoterminal.com/solana/pools/9tz6vYKiBDLYx2RnGWC5tESu4pyVE4jD6Tm56352UGte,9tz6vYKiBDLYx2RnGWC5tESu4pyVE4jD6Tm56352UGte,8wXtPeU6557ETkp9WHFY1n1EcU6NxDvbAggHGsMYiHsB,2026-02-26 05:49:21,0.0007177373880931,0.0007033011717269,0.0007155275861191,0.0007301950439736,0.0006978920250987,False,False,LOSS-,-2.01
